Tratamiento,CERRADO,05/02/2024,11913846,NOVOCAP S.A.,30-50510926/7,52886,PUENTE DEL INCA Nº : S/N,TRISTAN SUAREZ,EL BARRERO ECOLOGICO S.A.,30-71668807/7,153511,BAHIA BLANCA Nº : 1142,CIUDAD AUTONOMA DE BUENOS AIRES,INDUSTRIAS TRADEC S.R.L.,30-70723789/5,22207,EL TROPERO Nº : S/N Ruta: : 25 Km:: 11,DERQUI,Y2,20780
Tratamiento,CERRADO,06/02/2024,11913893,COMPAÑIA BERNAL SA,30-71195284/1,2479,COMANDANTE FRANCO Nº : 4901 Ruta: : CAMINO GRAL. BELGRANO Km:: 10.5,BERNAL OESTE,HOUSE AND TRUCK S.A.,30-71123997/5,37451,MARAÑÓN Nº : 840,BOSQUES,BIOTEC S.A,30-68459147/5,37672,181 (EX 184) E/ 684 Y 695    Nº : S/N,POBLET,160306,2660
Tratamiento,VALIDADO,06/02/2024,11913907,PRINCIPADO LA FIACA S.A.,30-71539177/1,21602,SAN LUIS Nº : 1557,MORENO,VOLQUETES Y TRANSPORTES MARINO S.A.,30-65480863/1,37227,QUIRNO Nº : 240,CIUDAD AUTONOMA DE BUENOS AIRES,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,191201,3600
Tratamiento,CERRADO,05/02/2024,11913930,PRODUCTOS PILAR S.A.,30-68825584/4,26799,"HONORIO PUEYRREDON (RUTA 25) Nº : 6032 Ruta: : RUTA 25 Km:: 8,7",VILLA ROSA,EL BARRERO ECOLOGICO S.A.,30-71668807/7,153511,BAHIA BLANCA Nº : 1142,CIUDAD AUTONOMA DE BUENOS AIRES,JUAN ESPOSITO Y  LEONARDO ALFREDO SAGULO,30-71059954/4,37314,ESPERANZA Nº : S/N,VIRREY DEL PINO,020101,10000
Tratamiento,VALIDADO,05/02/2024,11913931,Transporte Padilla S.A.,33-59084518/9,11837,RUTA NAC. 9 Nº : KM 79.5,CAMPANA,JYD MILANO S.R.L.,30-71168738/2,42182,VERDI 270 Nº : 270,CAMPANA,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,200301,240
Tratamiento,CERRADO,18/02/2024,11913932,GRUPO SAMAGA S.A.,30-71222835/7,57268,HIPOLITO YRIGOYEN  Nº : 13495,ADROGUE,FRANCO TRANSPORTES S.R.L,30-70845639/6,37363,FLORENCIO SANCHEZ Nº : 450,LA TABLADA,NUEVA ENERGIA ARGENTINA S.A.,30-71051483/2,33881,S/ NOMBRE - A DESIGNAR Nº : 00000 Piso: : ---------- Ruta: : PANAMERICANA Km:: 56,PILAR,Y9,3000
Tratamiento,CERRADO,29/02/2024,11913934,INDUSTRIAS JUAN F SECCO S.A,30-50159813/1,46651,"RUTA NAC. Nº 8 KM 143,5 Nº : 143 Ruta: : 8 Km:: 143.5",CAPITAN SARMIENTO,TRANSRAMOS S.R.L.,30-70987313/6,37330,SEGUROLA Nº : 1356,VILLA INSUPERABLE,BIOTEC S.A,30-68459147/5,37672,181 (EX 184) E/ 684 Y 695    Nº : S/N,POBLET,Y9,11500
Tratamiento,CERRADO,06/02/2024,11913935,RAPSA S.A,30-70938175/6,142410,DON JUAN LUMBRERAS (RUTA PROVINCIAL 24) Nº : 2201,GENERAL RODRIGUEZ,TRANSMOR S.A.,30-70869036/4,37511,ROSSET Nº : 388,MORENO,P.T.O.   S.A.,30-69018462/8,38716,BARTOLOME DIAZ Y ENSENADA Nº : CUARTEL V,MORENO,190814,24000
Tratamiento,CERRADO,29/02/2024,11913937,LA PRIMERA DE GRAND BOURG S.A.,30-56190067/8,47405,TTE. GRAL. RICHIERI Nº : 6301,CUARTEL QUINTO,FRANCO TRANSPORTES S.R.L,30-70845639/6,37363,FLORENCIO SANCHEZ Nº : 450,LA TABLADA,NUEVA ENERGIA ARGENTINA S.A.,30-71051483/2,33881,S/ NOMBRE - A DESIGNAR Nº : 00000 Piso: : ---------- Ruta: : PANAMERICANA Km:: 56,PILAR,Y8,1100
Tratamiento,CERRADO,08/02/2024,11913938,BIOGENESIS BAGO-PTA.MTE.GRANDE,30-65339981/9,11733,RUTA PANAMERICANA KM                          Nº : 385,GARIN,DESLER S.A.,30-65595408/9,13408,STEPHENSON Nº : 3094,MALVINAS ARGENTINAS,DESLER S.A.,30-65595408/9,13408,STEPHENSON Nº : 3094,MALVINAS ARGENTINAS,Y1,17
Tratamiento,CERRADO,07/02/2024,11913939,ENVASES TINPLATE S.A.U.,30-50072190/8,9010,AVENIDA EINSTEN Nº : 235,GARIN,TRANSPORTES ECOLOGICOS SRL,30-71232377/5,47849,GERVASIO POSADAS Nº : 3916,CARAPACHAY,GRANIESWORMS,23-21769219/9,27766,CALLE 121 Nº : S/N Ruta: : RUTA 25  Km:: 7.5,PILAR,200301,460
Tratamiento,CERRADO,05/02/2024,11913940,THINNER TEDE  S.R.L.,33-50453410/9,8230,JOSE  ZABALA Nº : 845,GARIN,TAMSER S.R.L.,30-70957021/4,26950,LUIS MARIA CAMPOS Nº : 4059,GENERAL PACHECO,TAMSER S.R.L.,30-70957021/4,26950,LUIS MARIA CAMPOS Nº : 4059,GENERAL PACHECO,Y6,27
Tratamiento,CERRADO,26/02/2024,11913941,FABBRI  ARGENTINA   S. R. L.,30-68519041/5,14729,RUTA  PANAMERICANA  KM.  38  -  COLECTORA  N°  180 Nº : 180 Piso: : ----------,GARIN,"CAMPOS, CLAUDIO",20-20003386/9,37458,ALEJANDRO M. CERVANTES Nº : 3670,CIUDAD AUTONOMA DE BUENOS AIRES,P.T.O.   S.A.,30-69018462/8,38716,BARTOLOME DIAZ Y ENSENADA Nº : CUARTEL V,MORENO,190814,8320
Tratamiento,CERRADO,29/02/2024,11913942,ALIBUE SA,33-61698910/9,30503,RIO PICO Nº : SIN,GENERAL RODRIGUEZ,TRANSRAMOS S.R.L.,30-70987313/6,37330,SEGUROLA Nº : 1356,VILLA INSUPERABLE,INGENIERIA AMBIENTAL S.A.,30-70289192/9,28267,AV. MONTEVERDE Nº : 2500,SAN FRANCISCO SOLANO,Y8,400
Tratamiento,VALIDADO,06/02/2024,11913943,ENFOQUE POP S.R.L.,33-71559334/9,184560,C-109 Paso Nº : 1840,SAN MARTIN,"DIETRICH, CLAUDIO",20-16101020/1,42112,MENDOZA Nº : 21,VILLA BALLESTER,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170201,200
Tratamiento,CERRADO,29/02/2024,11913945,ELI S.A.,30-68529905/0,43330,JUAN MANUEL DE ROSAS Nº : 12594,LAFERRERE,FRANCO TRANSPORTES S.R.L,30-70845639/6,37363,FLORENCIO SANCHEZ Nº : 450,LA TABLADA,NUEVA ENERGIA ARGENTINA S.A.,30-71051483/2,33881,S/ NOMBRE - A DESIGNAR Nº : 00000 Piso: : ---------- Ruta: : PANAMERICANA Km:: 56,PILAR,Y8,400
Tratamiento,VALIDADO,05/02/2024,11913946,Transporte Padilla S.A.,33-59084518/9,11837,RUTA NAC. 9 Nº : KM 79.5,CAMPANA,JYD MILANO S.R.L.,30-71168738/2,42182,VERDI 270 Nº : 270,CAMPANA,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,200301,230
Tratamiento,CERRADO,16/02/2024,11913947,PRODUCTOS PILAR S.A.,30-68825584/4,26799,"HONORIO PUEYRREDON (RUTA 25) Nº : 6032 Ruta: : RUTA 25 Km:: 8,7",VILLA ROSA,EL BARRERO ECOLOGICO S.A.,30-71668807/7,153511,BAHIA BLANCA Nº : 1142,CIUDAD AUTONOMA DE BUENOS AIRES,JUAN ESPOSITO Y  LEONARDO ALFREDO SAGULO,30-71059954/4,37314,ESPERANZA Nº : S/N,VIRREY DEL PINO,020101,10000
Tratamiento,VALIDADO,06/02/2024,11913950,AQUARINA S.R.L.,30-71242302/8,237103,1 de agosto Nº : 3357,BILLINGHURST,"DIETRICH, CLAUDIO",20-16101020/1,42112,MENDOZA Nº : 21,VILLA BALLESTER,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170201,200
Tratamiento,CERRADO,26/02/2024,11913952,FABBRI  ARGENTINA   S. R. L.,30-68519041/5,14729,RUTA  PANAMERICANA  KM.  38  -  COLECTORA  N°  180 Nº : 180 Piso: : ----------,GARIN,"CAMPOS, CLAUDIO",20-20003386/9,37458,ALEJANDRO M. CERVANTES Nº : 3670,CIUDAD AUTONOMA DE BUENOS AIRES,P.T.O.   S.A.,30-69018462/8,38716,BARTOLOME DIAZ Y ENSENADA Nº : CUARTEL V,MORENO,190814,8140
Tratamiento,CERRADO,28/02/2024,11913955,PRODUCTOS PILAR S.A.,30-68825584/4,26799,"HONORIO PUEYRREDON (RUTA 25) Nº : 6032 Ruta: : RUTA 25 Km:: 8,7",VILLA ROSA,EL BARRERO ECOLOGICO S.A.,30-71668807/7,153511,BAHIA BLANCA Nº : 1142,CIUDAD AUTONOMA DE BUENOS AIRES,JUAN ESPOSITO Y  LEONARDO ALFREDO SAGULO,30-71059954/4,37314,ESPERANZA Nº : S/N,VIRREY DEL PINO,020101,10000
Tratamiento,CERRADO,06/02/2024,11913957,"DIA ARGENTINA S.A.,",30-68584975/1,153402,AV MITRE Nº : 4211 Piso: : PB,MUNRO,CHAMICAL COMPACTACION S.A.,33-69879610/9,21616,Ruta: : PROVINCIAL Nº 24 Km: : 30,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,160306,100
Tratamiento,VALIDADO,07/02/2024,11913959,VOLKSWAGEN ARGENTINA S.A.,30-50401884/5,6922,AV. HENRY FORD Nº : S/N°,GENERAL PACHECO,BORG ARGENTINA S.A..,30-67817276/2,37269,AV. DE LOS CONSTITUYENTES Nº : 4394,BENAVIDEZ,BORG ARGENTINA S.A..,30-67817276/2,37269,AV. DE LOS CONSTITUYENTES Nº : 4394,BENAVIDEZ,Y6,0
Tratamiento,VALIDADO,07/02/2024,11913959,VOLKSWAGEN ARGENTINA S.A.,30-50401884/5,6922,AV. HENRY FORD Nº : S/N°,GENERAL PACHECO,BORG ARGENTINA S.A..,30-67817276/2,37269,AV. DE LOS CONSTITUYENTES Nº : 4394,BENAVIDEZ,BORG ARGENTINA S.A..,30-67817276/2,37269,AV. DE LOS CONSTITUYENTES Nº : 4394,BENAVIDEZ,Y9,984
Tratamiento,VALIDADO,07/02/2024,11913959,VOLKSWAGEN ARGENTINA S.A.,30-50401884/5,6922,AV. HENRY FORD Nº : S/N°,GENERAL PACHECO,BORG ARGENTINA S.A..,30-67817276/2,37269,AV. DE LOS CONSTITUYENTES Nº : 4394,BENAVIDEZ,BORG ARGENTINA S.A..,30-67817276/2,37269,AV. DE LOS CONSTITUYENTES Nº : 4394,BENAVIDEZ,Y13,0
Tratamiento,VALIDADO,06/02/2024,11913960,GENTILE MONTAJES S.R.L.,30-70958577/7,43345,DIEGO DE ROSALES Nº : 640,HURLINGHAM,"DIETRICH, CLAUDIO",20-16101020/1,42112,MENDOZA Nº : 21,VILLA BALLESTER,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170201,100
Tratamiento,CERRADO,05/02/2024,11913961,BA MALL,30-70989881/3,62251,PANAMERICANA Nº : 36.5 Ruta: : PANAMERICANA Km:: 36.5,TORTUGUITAS,GRUPO ANDO S.A,30-71610003/7,109579,FRAY MAMERTO ESQUI? Nº : 3449,DON TORCUATO,DONA TU BASURA ASOCIACION CIVIL,30-71449709/6,57629,FRAY MAMERTO ESQUIU Nº : 3449,DON TORCUATO,191201,1714
Tratamiento,CERRADO,05/02/2024,11913962,VAMS  S.A.,30-70816036/5,14173,25 DE MAYO Nº : 2791 Ruta: : PANAMERICANA Km:: 31,EL TALAR,TI SE SERVICIOS S.R.L.,30-70896542/8,37268,LAVALLOL Nº : 1680,LANUS OESTE,NUEVA ENERGIA ARGENTINA S.A.,30-71051483/2,33881,S/ NOMBRE - A DESIGNAR Nº : 00000 Piso: : ---------- Ruta: : PANAMERICANA Km:: 56,PILAR,Y8,800
Tratamiento,VALIDADO,06/02/2024,11913963,HIDECO S.A.,30-51648103/6,28772,ZARATE Nº : 6179,VILLA BALLESTER,"DIETRICH, CLAUDIO",20-16101020/1,42112,MENDOZA Nº : 21,VILLA BALLESTER,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170201,100
Tratamiento,CERRADO,26/02/2024,11913964,SOUTH MANAGEMENT S.A.,30-70088850/5,110101,RIO CUARTO  Nº : 2019,CIUDAD AUTONOMA DE BUENOS AIRES,"CAMPOS, CLAUDIO",20-20003386/9,37458,ALEJANDRO M. CERVANTES Nº : 3670,CIUDAD AUTONOMA DE BUENOS AIRES,P.T.O.   S.A.,30-69018462/8,38716,BARTOLOME DIAZ Y ENSENADA Nº : CUARTEL V,MORENO,190814,2680
Tratamiento,VALIDADO,06/02/2024,11913967,ASOPROFARMA CPL,30-53328511/9,59095,PRIMERA JUNTA Nº : 3661,CARAPACHAY,"DIETRICH, CLAUDIO",20-16101020/1,42112,MENDOZA Nº : 21,VILLA BALLESTER,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170201,2700
Tratamiento,CERRADO,06/02/2024,11913968,UMICORE ARGENTINA S.A,30-68365583/6,27442,CALLE 14 Nº : S/N,PARQUE INDUSTRIAL PILAR,PELCO S.A.,30-60606312/8,20964,SAAVEDRA Nº : 2875,EL TALAR,PELCO S.A.,30-60606312/8,20964,SAAVEDRA Nº : 2875,EL TALAR,Y18,266
Tratamiento,CERRADO,06/02/2024,11913968,UMICORE ARGENTINA S.A,30-68365583/6,27442,CALLE 14 Nº : S/N,PARQUE INDUSTRIAL PILAR,PELCO S.A.,30-60606312/8,20964,SAAVEDRA Nº : 2875,EL TALAR,PELCO S.A.,30-60606312/8,20964,SAAVEDRA Nº : 2875,EL TALAR,Y35,13320
